nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
APPERTON,A,83,a contacter,,,,,,,,,,,,proprete,Autres activites de nettoyage des batiments et nettoyage industriel,ECHIROLLES,38130,38,04 76 49 54 46,contact@apperton.fr,mx_ok,BBM ET ASSOCIES,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/478969124,https://annuaire-entreprises.data.gouv.fr/entreprise/478969124,"https://www.google.com/maps?q=45.1497178955761,5.72539367127535",https://www.google.com/search?q=APPERTON+ECHIROLLES,https://www.linkedin.com/search/results/companies/?keywords=APPERTON,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=APPERTON&ou=ECHIROLLES,https://www.societe.com/cgi-bin/search?champs=478969124,https://fr.trustpilot.com/review/apperton.fr,https://www.linkedin.com/company/apperton,apperton.fr,250-499,ETI,15,22,28059686,3173714,2024,22,2004-09-21,SAS,"Qualiopi, Organisme de formation",2264,FR18478969124,active,478969124,47896912400203,81.22Z,3 RUE DES TROPIQUES 38130 ECHIROLLES,45.1497178955761,5.72539367127535,site-generique,non,rh@apperton.fr,KPMG SA (Commissaire aux comptes titulaire); SAGITTA (Président de SAS),oui,oui,2026-08-03,sirene,ECHIROLLES
SMEF AZUR,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,LA FARE LES OLIVIERS,13580,13,04 90 42 66 66,contact@smefazur.fr,mx_ok,AUDIT CONSEIL FRANCE INTERNATIONAL,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/331034819,https://annuaire-entreprises.data.gouv.fr/entreprise/331034819,"https://www.google.com/maps?q=43.548841864,5.189141471",https://www.google.com/search?q=SMEF+AZUR+LA+FARE+LES+OLIVIERS,https://www.linkedin.com/search/results/companies/?keywords=SMEF+AZUR,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SMEF+AZUR&ou=LA+FARE+LES+OLIVIERS,https://www.societe.com/cgi-bin/search?champs=331034819,https://fr.trustpilot.com/review/smefazur.fr,https://www.linkedin.com/company/6281589,smefazur.fr,20-49,PME,8,16,23862096,1302882,2024,41,1985-01-01,SAS,"RGE, Organisme de formation","3248, 9999",FR39331034819,active,331034819,33103481900044,43.22B,PARC ACTIVITES DU MOULIN C LA GUEIRARDE 13580 LA FARE LES OLIVIERS,43.548841864,5.189141471,site-generique,non,contact@vayoweb.fr,GROUPE GPSA (Président de SAS),oui,oui,2026-08-02,sirene,LA FARE LES OLIVIERS
ISOWATT,A,83,a contacter,,,,,,,,,,,,reseaux,Travaux d'installation electrique dans tous locaux,DARDILLY,69570,69,04 78 88 16 79,contact@isowatt.fr,mx_ok,ARTHAUD & ASSOCIES AUDIT,Commissaire aux comptes suppléant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/493774160,https://annuaire-entreprises.data.gouv.fr/entreprise/493774160,"https://www.google.com/maps?q=45.8026282267749,4.77034440590693",https://www.google.com/search?q=ISOWATT+DARDILLY,https://www.linkedin.com/search/results/companies/?keywords=ISOWATT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ISOWATT&ou=DARDILLY,https://www.societe.com/cgi-bin/search?champs=493774160,https://fr.trustpilot.com/review/isowatt.fr,https://www.linkedin.com/company/2953027,isowatt.fr,20-49,PME,6,11,19773481,133959,2024,20,2006-12-20,SAS,RGE,"2420, 1597, 2609",FR87493774160,active,493774160,49377416000037,43.21A,22 CHEMIN DU TRONCHON 69570 DARDILLY,45.8026282267749,4.77034440590693,site-generique,non,benjamin.martineau@isowatt.fr; contact@wemadeya.fr; sthizy@wemadeya.fr,INELYS (Commissaire aux comptes titulaire); AURALIANCE (Président de SAS),oui,oui,2026-08-01,sirene,DARDILLY
ALTIVEC,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,LIMONEST,69760,69,07 32 42 18 75,contact@altivec.fr,mx_ok,COGERA EXPERTISE,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/415022805,https://annuaire-entreprises.data.gouv.fr/entreprise/415022805,"https://www.google.com/maps?q=45.8039983395521,4.77286180264299",https://www.google.com/search?q=ALTIVEC+LIMONEST,https://www.linkedin.com/search/results/companies/?keywords=ALTIVEC,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALTIVEC&ou=LIMONEST,https://www.societe.com/cgi-bin/search?champs=415022805,https://fr.trustpilot.com/review/altivec.fr,,altivec.fr,20-49,PME,4,10,3838958,27015,2023,28,1998-01-01,SAS,RGE,2609,FR95415022805,active,415022805,41502280500063,43.22B,170 CHEMIN DE PAISY 69760 LIMONEST,45.8039983395521,4.77286180264299,site-generique,non,exemple@monsite.com; info@mysite.com,ENERGIES FINANCES (Président de SAS),oui,oui,2026-08-01,sirene,LIMONEST
ECO HABITAT ENERGIE,A,83,a contacter,,,,,,,,,,,,reseaux,Travaux d'installation electrique dans tous locaux,CHAMPIGNY-SUR-MARNE,94500,94,08 18 02 18 02,contact@ecohabitatenergie.com,mx_ok,MICHAEL KHAROUBI,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/801897497,https://annuaire-entreprises.data.gouv.fr/entreprise/801897497,"https://www.google.com/maps?q=48.8134784142823,2.5334520486665",https://www.google.com/search?q=ECO+HABITAT+ENERGIE+CHAMPIGNY-SUR-MARNE,https://www.linkedin.com/search/results/companies/?keywords=ECO+HABITAT+ENERGIE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ECO+HABITAT+ENERGIE&ou=CHAMPIGNY-SUR-MARNE,https://www.societe.com/cgi-bin/search?champs=801897497,https://fr.trustpilot.com/review/ecohabitatenergie.com,,ecohabitatenergie.com,50-99,PME,4,7,29433054,70192,2023,12,2014-04-18,SAS,RGE,1412,FR62801897497,active,801897497,80189749700047,43.21A,296 RUE DU PROFESSEUR PAUL MILLIEZ 94500 CHAMPIGNY-SUR-MARNE,48.8134784142823,2.5334520486665,site-generique,non,,EXCELIA AUDIT (Commissaire aux comptes suppléant); OZ (Président de SAS); FT HOLDING (Directeur Général),oui,oui,2026-08-02,sirene,CHAMPIGNY-SUR-MARNE
SIONNEAU,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'isolation,REIMS,51100,51,03 26 15 01 36,secretariat@sionneau.fr,mx_ok,AURORE SIONNEAU,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/335783635,https://annuaire-entreprises.data.gouv.fr/entreprise/335783635,"https://www.google.com/maps?q=49.217118222946,4.0221945935862",https://www.google.com/search?q=SIONNEAU+REIMS,https://www.linkedin.com/search/results/companies/?keywords=SIONNEAU,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SIONNEAU&ou=REIMS,https://www.societe.com/cgi-bin/search?champs=335783635,https://fr.trustpilot.com/review/sionneau.fr,https://www.linkedin.com/company/groupe-sionneau,sionneau.fr,100-199,PME,4,8,36518770,-1226818,2022,69,1957-01-01,SAS,RGE,"2609, 1597, 2420",FR00335783635,active,335783635,33578363500055,43.29A,3 RUE EDMOND ROSTAND 51100 REIMS,49.217118222946,4.0221945935862,site-generique,non,web@agencepulsi.com,CABINET LAURENT CALLON (Commissaire aux comptes titulaire); SIONNEAU INVESTISSEMENT (Président de SAS),oui,oui,2026-08-01,sirene,REIMS
EUROP'ELEC,A,83,a contacter,,,,,,,,,,,,reseaux,Travaux d'installation electrique dans tous locaux,CARROS,06510,06,04 97 03 24 00,info@europelec.fr,mx_ok,ALAIN JULES ANDRE BARAULT,Membre du conseil de surveillance,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/384342432,https://annuaire-entreprises.data.gouv.fr/entreprise/384342432,"https://www.google.com/maps?q=43.798130151,7.1972342642",https://www.google.com/search?q=EUROP%27ELEC+CARROS,https://www.linkedin.com/search/results/companies/?keywords=EUROP%27ELEC,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=EUROP%27ELEC&ou=CARROS,https://www.societe.com/cgi-bin/search?champs=384342432,https://fr.trustpilot.com/review/europelec.fr,https://www.linkedin.com/company/europ-elec-europ-solutions-energies,europelec.fr,50-99,PME,3,5,18508512,1482419,2024,34,1992-01-15,SAS,RGE,"2420, 2609, 1597",FR45384342432,active,384342432,38434243200034,43.21A,5EME AVENUE 5EME AVENUE 06510 CARROS,43.798130151,7.1972342642,site-generique,non,contact@europ-digital.fr; info@3ei.fr; info@europsolar.fr,ALINE CORINNE CORDA (Directeur Général); CLAUDE FERNAND CORDA (CORDA) (Président du conseil de surveillance); MICHELINE RAYMONDE CORDA (DELAGE) (Membre du conseil de surveillance); CELINE LOUISETTE ALINE GULLINO (Membre du conseil de surveillance),oui,oui,2026-08-02,sirene,CARROS
GROUPE ROY ENERGIE,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,TOURY,28310,28,02 38 80 18 01,contact@gre-enr.fr,mx_ok,AUCEA AUDIT,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/819855206,https://annuaire-entreprises.data.gouv.fr/entreprise/819855206,"https://www.google.com/maps?q=48.180120476348,1.92956589003227",https://www.google.com/search?q=GROUPE+ROY+ENERGIE+TOURY,https://www.linkedin.com/search/results/companies/?keywords=GROUPE+ROY+ENERGIE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=GROUPE+ROY+ENERGIE&ou=TOURY,https://www.societe.com/cgi-bin/search?champs=819855206,https://fr.trustpilot.com/review/grouperoyenergie.fr,https://www.linkedin.com/company/grouperoyenergie,grouperoyenergie.fr,100-199,PME,3,5,38857012,1740392,2024,10,2016-03-25,SAS,RGE,"1597, 2609, 2420",FR68819855206,active,819855206,81985520600044,43.22B,23 RUE GONDRELIER 28310 TOURY,48.180120476348,1.92956589003227,site-generique,non,,HOLDING ROY (Président de SAS),oui,oui,2026-08-01,sirene,TOURY
ISO SOUFFLE,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'isolation,AVERMES,03000,03,04 70 20 11 46,contact@isosouffle.fr,mx_ok,CAEC AUDIT,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/483286589,https://annuaire-entreprises.data.gouv.fr/entreprise/483286589,"https://www.google.com/maps?q=46.613215839248,3.2950195898507",https://www.google.com/search?q=ISO+SOUFFLE+AVERMES,https://www.linkedin.com/search/results/companies/?keywords=ISO+SOUFFLE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ISO+SOUFFLE&ou=AVERMES,https://www.societe.com/cgi-bin/search?champs=483286589,https://fr.trustpilot.com/review/isosouffle.fr,,isosouffle.fr,10-19,ETI,3,5,3257453,161230,2018,21,2005-07-01,SAS,RGE,"2609, 1597, 2420",FR03483286589,active,483286589,48328658900054,43.29A,LES CONDRIAUX 03000 AVERMES,46.613215839248,3.2950195898507,site-generique,non,contact@cyberscope.pro,ABF EXPANSION (Président de SAS),oui,oui,2026-08-02,sirene,AVERMES
AVIPUR,A,83,a contacter,,,,,,,,,,,,proprete,"Desinfection, desinsectisation, deratisation",LACROIX-SAINT-OUEN,60610,60,08 06 70 88 88,contact@avipur.com,mx_ok,BENOÎT BRIEST,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/508479573,https://annuaire-entreprises.data.gouv.fr/entreprise/508479573,"https://www.google.com/maps?q=49.37972013,2.792559191",https://www.google.com/search?q=AVIPUR+LACROIX-SAINT-OUEN,https://www.linkedin.com/search/results/companies/?keywords=AVIPUR,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AVIPUR&ou=LACROIX-SAINT-OUEN,https://www.societe.com/cgi-bin/search?champs=508479573,https://fr.trustpilot.com/review/avipur.fr,https://www.linkedin.com/company/avipur,avipur.fr,10-19,ETI,2,5,980717,121930,2024,18,2008-10-01,SAS,RGE,"1605, 0804",FR47508479573,active,508479573,50847957300059,81.29A,241 RUE DU POIRIER 60610 LACROIX-SAINT-OUEN,49.37972013,2.792559191,site-generique,non,alain.chaaya@avipur.com; avipur.centre-est@avipur.com; avipur.provence@avipur.com; avipur07@avipur.com; avipur17@avipur.com,GROUPE AVIPUR (Président de SAS),oui,oui,2026-08-01,sirene,LACROIX-SAINT-OUEN
