nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
ECOGOM,A,78,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",THELUS,62580,62,03 21 24 35 56,contact@ecogom.fr,mx_ok,PIERRE BESNARD,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/390580884,https://annuaire-entreprises.data.gouv.fr/entreprise/390580884,"https://www.google.com/maps?q=50.354117958,2.7789900396",https://www.google.com/search?q=ECOGOM+THELUS,https://www.linkedin.com/search/results/companies/?keywords=ECOGOM,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ECOGOM&ou=THELUS,https://www.societe.com/cgi-bin/search?champs=390580884,https://fr.trustpilot.com/review/ecogom.fr,,ecogom.fr,50-99,PME,6,12,10693580,1589998,2018,33,1993-02-12,SAS,,9999,FR27390580884,active,390580884,39058088400059,71.20B,135 IMPASSE DU CRATERE 62580 THELUS,50.354117958,2.7789900396,site-generique,non,,CECOFRANCE (Commissaire aux comptes suppléant); MAGADA (Président de SAS); CECOFRANCE (Commissaire aux comptes suppléant),oui,oui,2026-08-02,sirene,THELUS
AGEXIAL,A,78,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",LA MADELEINE,59110,59,04 83 32 28 10,contact@agexial.fr,mx_ok,EX'IM GROUPE,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/844441105,https://annuaire-entreprises.data.gouv.fr/entreprise/844441105,"https://www.google.com/maps?q=50.6450319924161,3.0751090992264",https://www.google.com/search?q=AGEXIAL+LA+MADELEINE,https://www.linkedin.com/search/results/companies/?keywords=AGEXIAL,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AGEXIAL&ou=LA+MADELEINE,https://www.societe.com/cgi-bin/search?champs=844441105,https://fr.trustpilot.com/review/agexial.fr,https://www.linkedin.com/company/agexial,agexial.fr,10-19,GE,3,8,1085974,-142867,2024,8,2018-12-04,SAS,,,FR32844441105,active,844441105,84444110500096,71.20B,EURALLIANCE A 2 AVENUE DE KAARST 59110 LA MADELEINE,50.6450319924161,3.0751090992264,site-generique,non,a.dubois@agexial.fr; dpo@exim.fr; n.fanni@agexial.fr,,oui,oui,2026-08-02,sirene,LA MADELEINE
AB CERTIFICATION,A,70,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",PARIS,75009,75,01 48 01 51 90,contact@abcertification.com,mx_ok,VALUE COM,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/414513275,https://annuaire-entreprises.data.gouv.fr/entreprise/414513275,"https://www.google.com/maps?q=48.875835694,2.3392327727",https://www.google.com/search?q=AB+CERTIFICATION+PARIS,https://www.linkedin.com/search/results/companies/?keywords=AB+CERTIFICATION,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=AB+CERTIFICATION&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=414513275,https://fr.trustpilot.com/review/abcertification.fr,https://www.linkedin.com/company/ab-certification,abcertification.fr,10-19,PME,1,8,4064434,78538,2024,29,1997-11-04,SAS,,1486,FR31414513275,active,414513275,41451327500084,71.20B,17 RUE DE CHATEAUDUN 75009 PARIS,48.875835694,2.3392327727,site-generique,non,info@canvas.com,,oui,oui,2026-08-03,sirene,PARIS
ACTIV' HOME,A,70,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",REUGNY,03190,03,02 99 82 38 43,contact@ericlequertier.com,mx_ok,SPURGIN LEONHART,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/530890599,https://annuaire-entreprises.data.gouv.fr/entreprise/530890599,"https://www.google.com/maps?q=46.442077757,2.6091055437",https://www.google.com/search?q=ACTIV%27+HOME+REUGNY,https://www.linkedin.com/search/results/companies/?keywords=ACTIV%27+HOME,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ACTIV%27+HOME&ou=REUGNY,https://www.societe.com/cgi-bin/search?champs=530890599,https://fr.trustpilot.com/review/activhome.fr,,activhome.fr,10-19,PME,1,2,830679,-7177,2024,15,2011-03-01,SAS,,3222,FR00530890599,active,530890599,53089059900026,71.20B,LES CHARRAUDS 03190 REUGNY,46.442077757,2.6091055437,site-generique,non,,,oui,oui,2026-08-02,sirene,REUGNY
STAPHYT,A,68,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",INCHY-EN-ARTOIS,62860,62,,contact@staphyt.com,mx_ok,DIMITRI LOXEMAND,Commissaire aux comptes suppléant,email+20|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/349824243,https://annuaire-entreprises.data.gouv.fr/entreprise/349824243,"https://www.google.com/maps?q=50.176424589,3.0541164867",https://www.google.com/search?q=STAPHYT+INCHY-EN-ARTOIS,https://www.linkedin.com/search/results/companies/?keywords=STAPHYT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=STAPHYT&ou=INCHY-EN-ARTOIS,https://www.societe.com/cgi-bin/search?champs=349824243,https://fr.trustpilot.com/review/staphyt.com,https://fr.linkedin.com/company/staphyt,staphyt.com,100-199,PME,9,11,21467847,-317249,2024,37,1989-02-14,SAS,,1077,FR59349824243,active,349824243,34982424300019,71.20B,23 RUE DE MOEUVRES 62860 INCHY-EN-ARTOIS,50.176424589,3.0541164867,site-generique,non,contato@staphyt.com,SAS AST (Président de SAS); AUDIT FLANDRE ARTOIS (Commissaire aux comptes titulaire); DECOURCELLE BARROIS LORIDAN ASSOCIES (Commissaire aux comptes suppléant); FIL ROUGE AUDIT (Commissaire aux comptes titulaire),oui,oui,2026-08-03,sirene,INCHY-EN-ARTOIS
COVETECH,A,68,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",SAINT-JEAN-DE-VEDAS,34430,34,08 00 00 01 82,contact@covetech.fr,mx_ok,JEAN-PIERRE JACQUES ALBERT PLANQUES,Directeur Général,email+20|tel+10|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/510712433,https://annuaire-entreprises.data.gouv.fr/entreprise/510712433,"https://www.google.com/maps?q=43.568317368,3.836490473",https://www.google.com/search?q=COVETECH+SAINT-JEAN-DE-VEDAS,https://www.linkedin.com/search/results/companies/?keywords=COVETECH,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=COVETECH&ou=SAINT-JEAN-DE-VEDAS,https://www.societe.com/cgi-bin/search?champs=510712433,https://fr.trustpilot.com/review/covetech.fr,https://www.linkedin.com/company/covetech-officiel,covetech.fr,20-49,ETI,3,5,,85979,2024,17,2009-01-01,SAS,"Qualiopi, Organisme de formation",1404,FR01510712433,active,510712433,51071243300059,71.20B,10 RUE ROBERT SCHUMAN 34430 SAINT-JEAN-DE-VEDAS,43.568317368,3.836490473,site-generique,non,eric.segura@covetech.fr; info@karactere.fr; jp.planques@covetech.fr,ERIC SEGURA (Président de SAS); F 2A FOURCADE AUDIT ASSOCIES (Commissaire aux comptes titulaire); SOFILEC DEVELOPPEMENT ET PARTICIPATIONS (Directeur Général),oui,oui,2026-08-03,sirene,SAINT-JEAN-DE-VEDAS
UPSCIENCE,A,68,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",SAINT-NOLFF,56250,56,,info@upscience.com,mx_ok,MATTHIAS VOGELSANG,Président de SAS,email+20|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/513504399,https://annuaire-entreprises.data.gouv.fr/entreprise/513504399,"https://www.google.com/maps?q=47.699513846,-2.67209837",https://www.google.com/search?q=UPSCIENCE+SAINT-NOLFF,https://www.linkedin.com/search/results/companies/?keywords=UPSCIENCE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=UPSCIENCE&ou=SAINT-NOLFF,https://www.societe.com/cgi-bin/search?champs=513504399,https://fr.trustpilot.com/review/upscience.com,https://www.linkedin.com/company/wix-com,upscience.com,100-199,ETI,2,7,9573977,-176814,2024,17,2009-07-01,SAS,,0044,FR46513504399,active,513504399,51350439900033,71.20B,TALHOUET 56250 SAINT-NOLFF,47.699513846,-2.67209837,site-generique,non,,ERNST & YOUNG (Commissaire aux comptes titulaire),oui,oui,2026-08-01,sirene,SAINT-NOLFF
VIRHEALTH,A,68,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",LYON,69007,69,,contact@virhealth.fr,mx_ok,VINCENT OLIVIER MOULES,Président de SAS,email+20|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/812045359,https://annuaire-entreprises.data.gouv.fr/entreprise/812045359,"https://www.google.com/maps?q=45.7276599615429,4.83380598268874",https://www.google.com/search?q=VIRHEALTH+LYON,https://www.linkedin.com/search/results/companies/?keywords=VIRHEALTH,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=VIRHEALTH&ou=LYON,https://www.societe.com/cgi-bin/search?champs=812045359,https://fr.trustpilot.com/review/virhealth.fr,https://www.linkedin.com/company/virhealthfr,virhealth.fr,10-19,PME,2,4,1001892,-105137,2024,11,2015-06-01,SAS,,1486,FR04812045359,active,812045359,81204535900047,71.20B,76 RUE GEORGES GOUY 69007 LYON,45.7276599615429,4.83380598268874,site-generique,non,,,oui,oui,2026-08-01,sirene,LYON
MARLIER S.A,A,65,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",PERIGNAT-SUR-ALLIER,63800,63,,marlier.sa@marlier.com,mx_ok,JACQUELINE MARLIER (GIRARD),Administrateur,email+12|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/379433626,https://annuaire-entreprises.data.gouv.fr/entreprise/379433626,"https://www.google.com/maps?q=45.730569273,3.245787729",https://www.google.com/search?q=MARLIER+S.A+PERIGNAT-SUR-ALLIER,https://www.linkedin.com/search/results/companies/?keywords=MARLIER+S.A,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=MARLIER+S.A&ou=PERIGNAT-SUR-ALLIER,https://www.societe.com/cgi-bin/search?champs=379433626,https://fr.trustpilot.com/review/marliersa.com,,marliersa.com,50-99,PME,4,6,5243938,200658,2024,36,1990-10-01,SA,Organisme de formation,"3248, 9999",FR70379433626,active,379433626,37943362600023,71.20B,ROUTE DE BILLOM 63800 PERIGNAT-SUR-ALLIER,45.730569273,3.245787729,site,non,,BERNARD MARLIER (Administrateur); JACQUES MARLIER (Président du conseil d’administration); ADEA AUDIT (Commissaire aux comptes suppléant); SIRVIN CONSEIL (Commissaire aux comptes titulaire),oui,oui,2026-08-02,sirene,PERIGNAT-SUR-ALLIER
ARKHEDIA,A,63,a contacter,,,,,,,,,,,,controle,"Analyses, essais et inspections techniques",CENON,33150,33,01 49 98 48 50,contact@arkhedia.fr,mx_ok,PIERRE-ELIE BERNARD,Directeur Général,email+20|tel+10|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/521942920,https://annuaire-entreprises.data.gouv.fr/entreprise/521942920,"https://www.google.com/maps?q=44.8571542049077,-0.524784900422466",https://www.google.com/search?q=ARKHEDIA+CENON,https://www.linkedin.com/search/results/companies/?keywords=ARKHEDIA,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ARKHEDIA&ou=CENON,https://www.societe.com/cgi-bin/search?champs=521942920,https://fr.trustpilot.com/review/arkhedia.fr,,arkhedia.fr,20-49,PME,5,20,,1139736,2024,16,2010-02-15,SAS,,,FR64521942920,active,521942920,52194292000195,71.20B,15 RUE ARISTIDE BRIAND 33150 CENON,44.8571542049077,-0.524784900422466,site-generique,non,azur@arkhedia.fr; lorraine@arkhedia.fr; perigueux@arkhedia.fr; provence@arkhedia.fr,"BRUNO DELERUE (Directeur Général); COURCEL, AUDIT & CONSEILS (Commissaire aux comptes titulaire); H2B SERVICES (Président de SAS)",oui,oui,2026-08-02,sirene,CENON
