nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
SMEF AZUR,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,LA FARE LES OLIVIERS,13580,13,04 90 42 66 66,contact@smefazur.fr,mx_ok,AUDIT CONSEIL FRANCE INTERNATIONAL,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/331034819,https://annuaire-entreprises.data.gouv.fr/entreprise/331034819,"https://www.google.com/maps?q=43.548841864,5.189141471",https://www.google.com/search?q=SMEF+AZUR+LA+FARE+LES+OLIVIERS,https://www.linkedin.com/search/results/companies/?keywords=SMEF+AZUR,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SMEF+AZUR&ou=LA+FARE+LES+OLIVIERS,https://www.societe.com/cgi-bin/search?champs=331034819,https://fr.trustpilot.com/review/smefazur.fr,https://www.linkedin.com/company/6281589,smefazur.fr,20-49,PME,8,16,23862096,1302882,2024,41,1985-01-01,SAS,"RGE, Organisme de formation","3248, 9999",FR39331034819,active,331034819,33103481900044,43.22B,PARC ACTIVITES DU MOULIN C LA GUEIRARDE 13580 LA FARE LES OLIVIERS,43.548841864,5.189141471,site-generique,non,contact@vayoweb.fr,GROUPE GPSA (Président de SAS),oui,oui,2026-08-02,sirene,LA FARE LES OLIVIERS
CIEC,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,PARIS,75018,75,08 11 20 10 59,contact@ciec.fr,mx_ok,JANY ARNAL,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/433056223,https://annuaire-entreprises.data.gouv.fr/entreprise/433056223,"https://www.google.com/maps?q=48.897825992,2.370010814",https://www.google.com/search?q=CIEC+PARIS,https://www.linkedin.com/search/results/companies/?keywords=CIEC,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CIEC&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=433056223,https://fr.trustpilot.com/review/ciec.fr,https://www.linkedin.com/company/ciec,ciec.fr,250-499,GE,7,22,69980954,1588026,2024,26,2000-09-27,SAS,RGE,"0998, 1256",FR54433056223,active,433056223,43305622300152,43.22B,215 RUE D'AUBERVILLIERS 75018 PARIS,48.897825992,2.370010814,site-generique,non,communication@ciec.fr; ressources-humaines@ciec.fr,JOEL MESSIBA (Directeur Général); KPMG S.A (Commissaire aux comptes titulaire),oui,oui,2026-08-15,sirene,PARIS
BERTUCELLI,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'eau et de gaz en tous locaux,PREUILLY-SUR-CLAISE,37290,37,02 47 94 50 58,contact@bertucelli.fr,mx_ok,NEOTHERMIA,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/334148376,https://annuaire-entreprises.data.gouv.fr/entreprise/334148376,"https://www.google.com/maps?q=46.858680474,0.9401890719",https://www.google.com/search?q=BERTUCELLI+PREUILLY-SUR-CLAISE,https://www.linkedin.com/search/results/companies/?keywords=BERTUCELLI,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=BERTUCELLI&ou=PREUILLY-SUR-CLAISE,https://www.societe.com/cgi-bin/search?champs=334148376,https://fr.trustpilot.com/review/bertucelli.fr,,bertucelli.fr,20-49,PME,6,11,6887192,252412,2025,41,1985-11-01,SAS,RGE,"1597, 2609, 2420",FR95334148376,active,334148376,33414837600067,43.22A,2 ZONE DU ROND 37290 PREUILLY-SUR-CLAISE,46.858680474,0.9401890719,site-generique,non,,,oui,oui,2026-08-11,sirene,PREUILLY-SUR-CLAISE
CELFY,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,GRENTHEVILLE,14540,14,02 31 35 04 05,contact@celfy.fr,mx_ok,NICOLAS JEAN-MARIE MICHEL MADELAINE,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/653820175,https://annuaire-entreprises.data.gouv.fr/entreprise/653820175,"https://www.google.com/maps?q=49.1416960264233,-0.307436957682002",https://www.google.com/search?q=CELFY+GRENTHEVILLE,https://www.linkedin.com/search/results/companies/?keywords=CELFY,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CELFY&ou=GRENTHEVILLE,https://www.societe.com/cgi-bin/search?champs=653820175,https://fr.trustpilot.com/review/celfy.fr,https://www.linkedin.com/company/47567561,celfy.fr,200-249,PME,5,9,43792390,2012571,2025,61,1965-01-01,SAS,RGE,"1597, 2420, 1596, 2609",FR63653820175,active,653820175,65382017500095,43.22B,ZAC EOLE 43 BOULEVARD DES NATIONS 14540 GRENTHEVILLE,49.1416960264233,-0.307436957682002,site-generique,non,contact@unikstudio.fr,CABINET LAUNAY AUDIT (Commissaire aux comptes suppléant); ROLLET MANAGEMENT (Président de SAS); KPMG S.A (Commissaire aux comptes titulaire),oui,oui,2026-08-05,sirene,GRENTHEVILLE
LA LOUISIANE,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'eau et de gaz en tous locaux,PARIS,75018,75,06 73 99 71 42,contact@lalouisiane.fr,mx_ok,MARIE THERESE VENTURINI (GAUDIN),Autre,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/326102613,https://annuaire-entreprises.data.gouv.fr/entreprise/326102613,"https://www.google.com/maps?q=48.890991647,2.364061289",https://www.google.com/search?q=LA+LOUISIANE+PARIS,https://www.linkedin.com/search/results/companies/?keywords=LA+LOUISIANE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=LA+LOUISIANE&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=326102613,https://fr.trustpilot.com/review/lalouisiane.fr,,lalouisiane.fr,100-199,PME,5,6,40706961,1111708,2025,44,1982-11-01,5699,RGE,"9999, 1597, 2420",FR92326102613,active,326102613,32610261300022,43.22A,18 RUE BUZELIN 75018 PARIS,48.890991647,2.364061289,site-generique,non,,SEBASTIEN GAUDIN (Membre du conseil de surveillance); JEAN-LUC LOIR (Commissaire aux comptes suppléant); CYRIL NICOLAS VENTURINI (Président du directoire); JEAN MARIE PHILIPPE DANIEL VENTURINI (Membre du directoire),oui,oui,2026-08-22,sirene,PARIS
ALTIVEC,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'equipements thermiques et de climatisation,LIMONEST,69760,69,07 32 42 18 75,contact@altivec.fr,mx_ok,COGERA EXPERTISE,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/415022805,https://annuaire-entreprises.data.gouv.fr/entreprise/415022805,"https://www.google.com/maps?q=45.8039983395521,4.77286180264299",https://www.google.com/search?q=ALTIVEC+LIMONEST,https://www.linkedin.com/search/results/companies/?keywords=ALTIVEC,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALTIVEC&ou=LIMONEST,https://www.societe.com/cgi-bin/search?champs=415022805,https://fr.trustpilot.com/review/altivec.fr,,altivec.fr,20-49,PME,4,10,3838958,27015,2023,28,1998-01-01,SAS,RGE,2609,FR95415022805,active,415022805,41502280500063,43.22B,170 CHEMIN DE PAISY 69760 LIMONEST,45.8039983395521,4.77286180264299,site-generique,non,exemple@monsite.com; info@mysite.com,ENERGIES FINANCES (Président de SAS),oui,oui,2026-08-01,sirene,LIMONEST
FJF ENERGIES,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'eau et de gaz en tous locaux,BEAUCE LA ROMAINE,41240,41,02 54 89 68 08,accueil45@fjfenergies.fr,mx_ok,LOÏC ROUGE,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/951715242,https://annuaire-entreprises.data.gouv.fr/entreprise/951715242,"https://www.google.com/maps?q=47.911624011,1.5328808134",https://www.google.com/search?q=FJF+ENERGIES+BEAUCE+LA+ROMAINE,https://www.linkedin.com/search/results/companies/?keywords=FJF+ENERGIES,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=FJF+ENERGIES&ou=BEAUCE+LA+ROMAINE,https://www.societe.com/cgi-bin/search?champs=951715242,https://fr.trustpilot.com/review/fjfenergies.fr,https://fr.linkedin.com/company/fjfenergies,fjfenergies.fr,20-49,PME,4,4,403322,1391,2023,3,2023-04-14,SAS,RGE,"2609, 1597",FR14951715242,active,951715242,95171524200016,43.22A,OUZOUER LE MARCHE 24 AVENUE DE CHANZY 41240 BEAUCE LA ROMAINE,47.911624011,1.5328808134,site-generique,non,accueil28@fjfenergies.fr; accueil@fjfenergies.fr; accueil@mgsinfo.com; administration@fjfenergies.fr,NATHAN STEVENS (Directeur Général),oui,oui,2026-08-08,sirene,BEAUCE LA ROMAINE
LES BONS ARTISANS,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'eau et de gaz en tous locaux,CLICHY,92110,92,09 70 70 52 58,contact@lesbonsartisans.fr,mx_ok,DAMIEN WILFRIED DAVID BERTHELOT,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/753805035,https://annuaire-entreprises.data.gouv.fr/entreprise/753805035,"https://www.google.com/maps?q=48.9009152889045,2.31791078658945",https://www.google.com/search?q=LES+BONS+ARTISANS+CLICHY,https://www.linkedin.com/search/results/companies/?keywords=LES+BONS+ARTISANS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=LES+BONS+ARTISANS&ou=CLICHY,https://www.societe.com/cgi-bin/search?champs=753805035,https://fr.trustpilot.com/review/lesbonsartisans.fr,https://www.linkedin.com/company/saslesbonsartisans,lesbonsartisans.fr,50-99,PME,4,12,22559568,1394179,2024,14,2012-08-03,SAS,RGE,"2420, 2609, 9999",FR88753805035,active,753805035,75380503500114,43.22A,92 BOULEVARD VICTOR HUGO 92110 CLICHY,48.9009152889045,2.31791078658945,site-generique,non,support@ovh.com,FIDUCO (Commissaire aux comptes titulaire),oui,oui,2026-08-22,sirene,CLICHY
RATEAU FRERES,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'installation d'eau et de gaz en tous locaux,THOUARS,79100,79,05 49 96 37 84,contact@rateaufreres.fr,mx_ok,LAURENT ARROUASSE,Commissaire aux comptes suppléant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/437489214,https://annuaire-entreprises.data.gouv.fr/entreprise/437489214,"https://www.google.com/maps?q=46.99414472,-0.20506461",https://www.google.com/search?q=RATEAU+FRERES+THOUARS,https://www.linkedin.com/search/results/companies/?keywords=RATEAU+FRERES,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=RATEAU+FRERES&ou=THOUARS,https://www.societe.com/cgi-bin/search?champs=437489214,https://fr.trustpilot.com/review/rateaufreres.fr,,rateaufreres.fr,20-49,PME,4,6,4728733,378867,2024,11,2015-09-01,SAS,RGE,"2609, 1597",FR36437489214,active,437489214,43748921400043,43.22A,4 RUE HENRI DUBOIS 79100 THOUARS,46.99414472,-0.20506461,site-generique,non,rateaufreres@wanadoo.fr,MALDOROR DAVIER (Commissaire aux comptes titulaire); ERIC RATEAU (Président de SAS); THIERRY RATEAU (Directeur Général); SATEP (Président de SAS),oui,oui,2026-08-14,sirene,THOUARS
SIONNEAU,A,83,a contacter,,,,,,,,,,,,cvc,Travaux d'isolation,REIMS,51100,51,03 26 15 01 36,secretariat@sionneau.fr,mx_ok,AURORE SIONNEAU,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/335783635,https://annuaire-entreprises.data.gouv.fr/entreprise/335783635,"https://www.google.com/maps?q=49.217118222946,4.0221945935862",https://www.google.com/search?q=SIONNEAU+REIMS,https://www.linkedin.com/search/results/companies/?keywords=SIONNEAU,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SIONNEAU&ou=REIMS,https://www.societe.com/cgi-bin/search?champs=335783635,https://fr.trustpilot.com/review/sionneau.fr,https://www.linkedin.com/company/groupe-sionneau,sionneau.fr,100-199,PME,4,8,36518770,-1226818,2022,69,1957-01-01,SAS,RGE,"2609, 1597, 2420",FR00335783635,active,335783635,33578363500055,43.29A,3 RUE EDMOND ROSTAND 51100 REIMS,49.217118222946,4.0221945935862,site-generique,non,web@agencepulsi.com,CABINET LAURENT CALLON (Commissaire aux comptes titulaire); SIONNEAU INVESTISSEMENT (Président de SAS),oui,oui,2026-08-01,sirene,REIMS
