nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
PROSERVE DASRI,A,70,a contacter,,,,,,,,,,,,environnement,Collecte des dechets dangereux,LE KREMLIN-BICETRE,94270,94,08 06 80 60 16,clients@proserve-dasri.com,mx_ok,YOUSSEF ERNEZ,Directeur Général,email+12|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/832336077,https://annuaire-entreprises.data.gouv.fr/entreprise/832336077,"https://www.google.com/maps?q=48.809612544,2.362884863",https://www.google.com/search?q=PROSERVE+DASRI+LE+KREMLIN-BICETRE,https://www.linkedin.com/search/results/companies/?keywords=PROSERVE+DASRI,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=PROSERVE+DASRI&ou=LE+KREMLIN-BICETRE,https://www.societe.com/cgi-bin/search?champs=832336077,https://fr.trustpilot.com/review/proservedasri.fr,https://www.linkedin.com/company/proserve-dasri,proservedasri.fr,250-499,ETI,42,73,67650310,-121818,2025,9,2017-11-01,SAS,,2149,FR02832336077,active,832336077,83233607700637,38.12Z,93 AVENUE DE FONTAINEBLEAU 94270 LE KREMLIN-BICETRE,48.809612544,2.362884863,site,non,data-privacy@groupe-nehs.com; data-privacy@proserve-dasri.com,KPMG S.A (Commissaire aux comptes titulaire); NEHS DEVELOPPEMENT (Président de SAS),oui,oui,2026-08-02,sirene,LE KREMLIN-BICETRE
SE.RA.HU,A,63,a contacter,,,,,,,,,,,,environnement,Collecte des dechets dangereux,CAGNES-SUR-MER,06800,06,04 92 12 82 12,contact06@serahu.fr,mx_ok,LAURENT CULARD (CULARD),Gérant,email+20|tel+10|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/035521400,https://annuaire-entreprises.data.gouv.fr/entreprise/035521400,"https://www.google.com/maps?q=43.678416973,7.1643918733",https://www.google.com/search?q=SE.RA.HU+CAGNES-SUR-MER,https://www.linkedin.com/search/results/companies/?keywords=SE.RA.HU,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SE.RA.HU&ou=CAGNES-SUR-MER,https://www.societe.com/cgi-bin/search?champs=035521400,https://fr.trustpilot.com/review/serahu.com,,serahu.com,20-49,PME,4,5,,517325,2025,71,1955-01-01,SARL,,0637,FR12035521400,active,035521400,03552140000024,38.12Z,68 CHEMIN DE LA CAMPANETTE 06800 CAGNES-SUR-MER,43.678416973,7.1643918733,site-generique,non,contact83@serahu.fr; elisa@gogency.fr; qse@serahu.fr,,oui,oui,2026-08-02,sirene,CAGNES-SUR-MER
XYLIA,A,60,a contacter,,,,,,,,,,,,environnement,Collecte des dechets non dangereux,ORGEVAL,78630,78,,xylia@xylia.org,mx_ok,ERIC WALME,Président de SAS,email+12|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/819839028,https://annuaire-entreprises.data.gouv.fr/entreprise/819839028,"https://www.google.com/maps?q=48.9273432176531,1.98058463588417",https://www.google.com/search?q=XYLIA+ORGEVAL,https://www.linkedin.com/search/results/companies/?keywords=XYLIA,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=XYLIA&ou=ORGEVAL,https://www.societe.com/cgi-bin/search?champs=819839028,https://fr.trustpilot.com/review/xylia.org,,xylia.org,20-49,PME,3,4,7105130,394841,2024,10,2016-04-12,SAS,,2149,FR34819839028,active,819839028,81983902800035,38.11Z,524 AVENUE PASTEUR 78630 ORGEVAL,48.9273432176531,1.98058463588417,site,non,,,oui,oui,2026-08-01,sirene,ORGEVAL
ENTREPRISE GAUTHIER,B,55,a contacter,,,,,,,,,,,,environnement,Collecte et traitement des eaux usees,DAGNEUX,01120,01,02 01 26 34 66,support@webador.fr,mx_ok,GERARD GAUTHIER,Directeur Général,email+12|tel+10|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/763200060,https://annuaire-entreprises.data.gouv.fr/entreprise/763200060,"https://www.google.com/maps?q=45.846331468,5.0622233589",https://www.google.com/search?q=ENTREPRISE+GAUTHIER+DAGNEUX,https://www.linkedin.com/search/results/companies/?keywords=ENTREPRISE+GAUTHIER,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ENTREPRISE+GAUTHIER&ou=DAGNEUX,https://www.societe.com/cgi-bin/search?champs=763200060,https://fr.trustpilot.com/review/entreprisegauthier.fr,,entreprisegauthier.fr,10-19,PME,2,5,,330720,2024,63,1963-01-01,SAS,,2272,FR67763200060,active,763200060,76320006000021,37.00Z,PARC D'ACTIVITE 264 ANCIENNE ROUTE DE NIEVROZ 01120 DAGNEUX,45.846331468,5.0622233589,site,non,,LG INVEST (Président de SAS); GJG HOLDING (Directeur Général),oui,oui,2026-08-01,sirene,DAGNEUX
SOLSTICE,B,50,a contacter,,,,,,,,,,,,environnement,Collecte des dechets non dangereux,LA FARLEDE,83210,83,,amdigitalsupport@honeywell.com,mx_ok,CÉDRIC PIERRE JEAN DAVOINE,"Directeur Général, Président de SAS",email+12|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/894549393,https://annuaire-entreprises.data.gouv.fr/entreprise/894549393,"https://www.google.com/maps?q=43.152625194813,6.04220534358067",https://www.google.com/search?q=SOLSTICE+LA+FARLEDE,https://www.linkedin.com/search/results/companies/?keywords=SOLSTICE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SOLSTICE&ou=LA+FARLEDE,https://www.societe.com/cgi-bin/search?champs=894549393,https://fr.trustpilot.com/review/solstice.com,https://www.linkedin.com/company/solstice-advanced-materials,solstice.com,10-19,PME,6,7,,-436167,2024,5,2021-02-10,SAS,ESS,2149,FR19894549393,active,894549393,89454939300029,38.11Z,75 RUE GAY LUSSAC 83210 LA FARLEDE,43.152625194813,6.04220534358067,site,non,,,oui,oui,2026-08-02,sirene,LA FARLEDE
SOCIETE D'EXPLOITATION DE SYSTEMES ET D'INSTALLATIONS D'EAU ET D'ASSAINISSEMENT,B,48,a contacter,,,,,,,,,,,,environnement,Collecte et traitement des eaux usees,PARIS,75008,75,,,,OLIVIER DARUT,Membre du conseil de surveillance,ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/414985028,https://annuaire-entreprises.data.gouv.fr/entreprise/414985028,"https://www.google.com/maps?q=48.873987726,2.3168813557",https://www.google.com/search?q=SOCIETE+D%27EXPLOITATION+DE+SYSTEMES+ET+D%27INSTALLATIONS+D%27EAU+ET+D%27ASSAINISSEMENT+PARIS,https://www.linkedin.com/search/results/companies/?keywords=SOCIETE+D%27EXPLOITATION+DE+SYSTEMES+ET+D%27INSTALLATIONS+D%27EAU+ET+D%27ASSAINISSEMENT,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SOCIETE+D%27EXPLOITATION+DE+SYSTEMES+ET+D%27INSTALLATIONS+D%27EAU+ET+D%27ASSAINISSEMENT&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=414985028,,,,20-49,GE,36,113,42519147,-4224262,2024,29,1997-12-17,5308,,,FR60414985028,active,414985028,41498502800482,37.00Z,21 RUE LA BOETIE 75008 PARIS,48.873987726,2.3168813557,,,,PIERRE FORGEREAU (Président du conseil de surveillance); ADRIEN FREMAU (Membre du conseil de surveillance); GÉRALDINE SENEMAUD (LAPICHE) (Gérant); OLIVIER MANDIL (Membre du conseil de surveillance),non,oui,2026-08-01,sirene,PARIS
ALLIANCE ENVIRONNEMENT EXPLOITATION,B,48,a contacter,,,,,,,,,,,,environnement,Collecte et traitement des eaux usees,LUNEL,34400,34,,,,CYRIL VAILHE,Président de SAS,ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/489533059,https://annuaire-entreprises.data.gouv.fr/entreprise/489533059,"https://www.google.com/maps?q=43.685951347,4.1472299829",https://www.google.com/search?q=ALLIANCE+ENVIRONNEMENT+EXPLOITATION+LUNEL,https://www.linkedin.com/search/results/companies/?keywords=ALLIANCE+ENVIRONNEMENT+EXPLOITATION,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALLIANCE+ENVIRONNEMENT+EXPLOITATION&ou=LUNEL,https://www.societe.com/cgi-bin/search?champs=489533059,,,,100-199,GE,12,25,24587259,812473,2024,20,2006-03-01,SAS,,2149,FR80489533059,active,489533059,48953305900122,37.00Z,130 RUE CLEMENT ADER 34400 LUNEL,43.685951347,4.1472299829,,,,DELOITTE & ASSOCIES (Commissaire aux comptes titulaire),non,oui,2026-08-02,sirene,LUNEL
RECYDIS,B,48,a contacter,,,,,,,,,,,,environnement,Collecte des dechets dangereux,PARIS,75008,75,,,,PAPREC D3E,Président de SAS,ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/478294291,https://annuaire-entreprises.data.gouv.fr/entreprise/478294291,"https://www.google.com/maps?q=48.87635403602609,2.311772953882551",https://www.google.com/search?q=RECYDIS+PARIS,https://www.linkedin.com/search/results/companies/?keywords=RECYDIS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=RECYDIS&ou=PARIS,https://www.societe.com/cgi-bin/search?champs=478294291,,,,50-99,GE,12,16,31146844,1333196,2024,22,2004-08-06,SAS,,,FR06478294291,active,478294291,47829429100172,38.12Z,7 RUE DU DOCTEUR LANCEREAUX 75008 PARIS,48.87635403602609,2.311772953882551,,,,BDO PARIS (Commissaire aux comptes titulaire),non,oui,2026-08-03,sirene,PARIS
SARP GRAND EST,B,48,a contacter,,,,,,,,,,,,environnement,Collecte et traitement des eaux usees,STRASBOURG,67000,67,,,,FLORENCE MIGNOT (BOUCHEZ),Président de SAS,ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/318455995,https://annuaire-entreprises.data.gouv.fr/entreprise/318455995,"https://www.google.com/maps?q=48.596627226,7.8000660588",https://www.google.com/search?q=SARP+GRAND+EST+STRASBOURG,https://www.linkedin.com/search/results/companies/?keywords=SARP+GRAND+EST,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SARP+GRAND+EST&ou=STRASBOURG,https://www.societe.com/cgi-bin/search?champs=318455995,,,,100-199,GE,12,27,18309055,-2125983,2022,46,1980-01-01,SAS,,2272,FR59318455995,active,318455995,31845599500031,37.00Z,14 RUE DE ROUEN 67000 STRASBOURG,48.596627226,7.8000660588,,,,ADRIEN DIARRA (Directeur Général); ALEXANDRE GIUDICELLI (GIUDICELLI) (Président de SAS); DELOITTE & ASSOCIES (Commissaire aux comptes titulaire),non,oui,2026-08-03,sirene,STRASBOURG
SECHE TRAITEMENT EAUX INDUSTRIELLES,B,48,a contacter,,,,,,,,,,,,environnement,Collecte et traitement des eaux usees,CHANGE,53810,53,,,,SECHE ENVIRONNEMENT,Président de SAS,ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/890068158,https://annuaire-entreprises.data.gouv.fr/entreprise/890068158,"https://www.google.com/maps?q=48.1145380103031,-0.845554027583516",https://www.google.com/search?q=SECHE+TRAITEMENT+EAUX+INDUSTRIELLES+CHANGE,https://www.linkedin.com/search/results/companies/?keywords=SECHE+TRAITEMENT+EAUX+INDUSTRIELLES,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SECHE+TRAITEMENT+EAUX+INDUSTRIELLES&ou=CHANGE,https://www.societe.com/cgi-bin/search?champs=890068158,,,,250-499,ETI,12,13,77077688,-8062899,2024,6,2020-10-12,SAS,,2147,FR29890068158,active,890068158,89006815800017,37.00Z,LD LES HETRES 53810 CHANGE,48.1145380103031,-0.845554027583516,,,,RSM OUEST (Commissaire aux comptes titulaire),non,oui,2026-08-01,sirene,CHANGE
