nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
MATAL,A,83,a contacter,,,,,,,,,,,,maintenance,Installation de machines et equipements mecaniques,LES SORINIERES,44840,44,03 67 25 67 25,contact.matal@matal.fr,mx_ok,YVAN LE PICAULT,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/855801825,https://annuaire-entreprises.data.gouv.fr/entreprise/855801825,"https://www.google.com/maps?q=47.147965863,-1.54197243",https://www.google.com/search?q=MATAL+LES+SORINIERES,https://www.linkedin.com/search/results/companies/?keywords=MATAL,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=MATAL&ou=LES+SORINIERES,https://www.societe.com/cgi-bin/search?champs=855801825,https://fr.trustpilot.com/review/matal.fr,https://www.linkedin.com/company/matal-froidindustriel,matal.fr,200-249,ETI,20,74,61842335,886973,2023,71,1955-01-01,SAS,Organisme de formation,,FR78855801825,active,855801825,85580182500644,33.20B,7 RUE DES ORFEVRES 44840 LES SORINIERES,47.147965863,-1.54197243,site-generique,non,info@mysite.com,KPMG SA (Commissaire aux comptes titulaire),oui,oui,2026-08-04,sirene,LES SORINIERES
CHRONO FLEX,A,83,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,SAINT-HERBLAIN,44800,44,08 26 10 50 00,contact@chronoflexplus.com,mx_ok,LAURE SOPHIE THORAVAL,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/401282553,https://annuaire-entreprises.data.gouv.fr/entreprise/401282553,"https://www.google.com/maps?q=47.22921294,-1.64959586",https://www.google.com/search?q=CHRONO+FLEX+SAINT-HERBLAIN,https://www.linkedin.com/search/results/companies/?keywords=CHRONO+FLEX,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CHRONO+FLEX&ou=SAINT-HERBLAIN,https://www.societe.com/cgi-bin/search?champs=401282553,https://fr.trustpilot.com/review/chronoflex.fr,https://www.linkedin.com/company/chrono-flex,chronoflex.fr,250-499,GE,5,8,64938629,3009000,2024,31,1995-05-29,SAS,Organisme de formation,3248,FR71401282553,active,401282553,40128255300049,33.12Z,13 RUE OLYMPE DE GOUGES 44800 SAINT-HERBLAIN,47.22921294,-1.64959586,site-generique,non,contact@fruizz.com; dpo@monnoyeur.com,BDO PARIS (Commissaire aux comptes titulaire),oui,oui,2026-08-13,sirene,SAINT-HERBLAIN
KERN FRANCE,A,83,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,SAUSHEIM,68390,68,05 47 30 30 64,info.france@kernworld.com,mx_ok,EMMANUEL CHRIST,Commissaire aux comptes suppléant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/483074258,https://annuaire-entreprises.data.gouv.fr/entreprise/483074258,"https://www.google.com/maps?q=47.7797596099241,7.38787131254154",https://www.google.com/search?q=KERN+FRANCE+SAUSHEIM,https://www.linkedin.com/search/results/companies/?keywords=KERN+FRANCE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=KERN+FRANCE&ou=SAUSHEIM,https://www.societe.com/cgi-bin/search?champs=483074258,https://fr.trustpilot.com/review/kernfrance.fr,https://www.linkedin.com/company/kern-group,kernfrance.fr,50-99,PME,4,6,7533232,-15506,2024,21,2005-07-01,SAS,"Qualiopi, Organisme de formation",3248,FR09483074258,active,483074258,48307425800052,33.12Z,1 RUE DES ALPES 68390 SAUSHEIM,47.7797596099241,7.38787131254154,site-generique,non,info@dp-wired.de; info@kernworld.com,GÉRY MEIRLAND (Directeur Général); STEFAN WÜTHRICH (Président de SAS); BLIND ET ASSOCIES (Commissaire aux comptes titulaire); BDO PARIS AUDIT & ADVISORY (Commissaire aux comptes titulaire),oui,oui,2026-08-15,sirene,SAUSHEIM
SOGEMA SERVICES,A,83,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,LYS-LEZ-LANNOY,59390,59,03 20 66 10 70,contact@sogemaservices.fr,mx_ok,MARC LE CORVAISIER,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5|labels+5,https://www.pappers.fr/entreprise/434917118,https://annuaire-entreprises.data.gouv.fr/entreprise/434917118,"https://www.google.com/maps?q=50.671791814,3.2340473533",https://www.google.com/search?q=SOGEMA+SERVICES+LYS-LEZ-LANNOY,https://www.linkedin.com/search/results/companies/?keywords=SOGEMA+SERVICES,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SOGEMA+SERVICES&ou=LYS-LEZ-LANNOY,https://www.societe.com/cgi-bin/search?champs=434917118,https://fr.trustpilot.com/review/sogemaservices.com,,sogemaservices.com,20-49,ETI,2,6,6636955,7364,2024,25,2001-03-08,SAS,"Qualiopi, Organisme de formation",3248,FR01434917118,active,434917118,43491711800011,33.12Z,ZI ROUBAIX EST RUE DE LA PAPINERIE 59390 LYS-LEZ-LANNOY,50.671791814,3.2340473533,site-generique,non,,PRICEWATERHOUSECOOPERS AUDIT (Commissaire aux comptes titulaire),oui,oui,2026-08-17,sirene,LYS-LEZ-LANNOY
GULDAGIL,A,78,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,RIXHEIM,68170,68,03 89 44 13 17,agence.sudest@guldagil.com,mx_ok,DANIEL JEAN-LOUIS CHARROIS,Directeur Général,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/402459523,https://annuaire-entreprises.data.gouv.fr/entreprise/402459523,"https://www.google.com/maps?q=47.756273388,7.4054848795",https://www.google.com/search?q=GULDAGIL+RIXHEIM,https://www.linkedin.com/search/results/companies/?keywords=GULDAGIL,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=GULDAGIL&ou=RIXHEIM,https://www.societe.com/cgi-bin/search?champs=402459523,https://fr.trustpilot.com/review/guldagil.com,,guldagil.com,50-99,PME,7,15,7990635,-238139,2024,31,1995-10-01,SAS,,1412,FR84402459523,active,402459523,40245952300013,33.12Z,4 RUE ROBERT SCHUMAN 68170 RIXHEIM,47.756273388,7.4054848795,site-generique,non,agence.est@guldagil.com; agence.idf@guldagil.com; agence.rhonealpes@guldagil.com; agence.sudouest@guldagil.com; webmaster@oci.fr,ERIC JEAN NOEL CHARROIS (Président de SAS); SYLVAIN CHARROIS (Directeur Général),oui,oui,2026-08-09,sirene,RIXHEIM
SOFTICA,A,78,a contacter,,,,,,,,,,,,maintenance,Autres travaux d'installation n.c.a.,MERY,73420,73,06 25 73 38 06,contact@softica.fr,mx_ok,B.J. PARTICIPATIONS,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/483348132,https://annuaire-entreprises.data.gouv.fr/entreprise/483348132,"https://www.google.com/maps?q=45.645963551,5.9192379502",https://www.google.com/search?q=SOFTICA+MERY,https://www.linkedin.com/search/results/companies/?keywords=SOFTICA,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SOFTICA&ou=MERY,https://www.societe.com/cgi-bin/search?champs=483348132,https://fr.trustpilot.com/review/softica.fr,https://www.linkedin.com/company/softica-portes-automatiques,softica.fr,50-99,PME,7,12,14862136,430132,2024,21,2005-06-16,SAS,,"2609, 1597, 2420",FR41483348132,active,483348132,48334813200026,43.29B,55 IMPASSE DES IRIS 73420 MERY,45.645963551,5.9192379502,site-generique,non,,CABINET BERTIATO AUDIT (Commissaire aux comptes titulaire),oui,oui,2026-08-09,sirene,MERY
CATTINAIR,A,78,a contacter,,,,,,,,,,,,maintenance,Installation de machines et equipements mecaniques,BROGNARD,25600,25,03 81 32 68 00,info@cattinair.com,mx_ok,EMMANUEL BOUHELIER,Commissaire aux comptes suppléant,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/820607810,https://annuaire-entreprises.data.gouv.fr/entreprise/820607810,"https://www.google.com/maps?q=47.5214204492464,6.8657289574525",https://www.google.com/search?q=CATTINAIR+BROGNARD,https://www.linkedin.com/search/results/companies/?keywords=CATTINAIR,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CATTINAIR&ou=BROGNARD,https://www.societe.com/cgi-bin/search?champs=820607810,https://fr.trustpilot.com/review/cattinair.fr,https://www.linkedin.com/company/cattinair,cattinair.fr,100-199,PME,6,11,25755601,805636,2024,10,2016-05-18,SAS,,3248,FR11820607810,active,820607810,82060781000117,33.20B,205 ALLEE HENRI HUGONIOT 25600 BROGNARD,47.5214204492464,6.8657289574525,site-generique,non,,ACTIS - AUDIT CONSEIL EXPERTISE COMPTABLE (Commissaire aux comptes titulaire); P.F.L. (Président de SAS); J.P.R (Directeur général délégué),oui,oui,2026-08-07,sirene,BROGNARD
FERMATIC SAS,A,78,a contacter,,,,,,,,,,,,maintenance,Autres travaux d'installation n.c.a.,GUITRANCOURT,78440,78,02 51 12 33 00,contact@fermatic.fr,mx_ok,ERNST & YOUNG ET AUTRES,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/792193476,https://annuaire-entreprises.data.gouv.fr/entreprise/792193476,"https://www.google.com/maps?q=48.990409077,1.7678200614",https://www.google.com/search?q=FERMATIC+SAS+GUITRANCOURT,https://www.linkedin.com/search/results/companies/?keywords=FERMATIC+SAS,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=FERMATIC+SAS&ou=GUITRANCOURT,https://www.societe.com/cgi-bin/search?champs=792193476,https://fr.trustpilot.com/review/fermatic.fr,https://www.linkedin.com/company/fermatic1,fermatic.fr,100-199,ETI,5,7,18339850,318669,2023,13,2013-04-02,SAS,,"2609, 1597, 2420",FR27792193476,active,792193476,79219347600019,43.29B,RN 190 N 190 78440 GUITRANCOURT,48.990409077,1.7678200614,site-generique,non,,DORMAKABA FRANCE (Président de SAS),oui,oui,2026-08-13,sirene,GUITRANCOURT
SPI ENERGIE,A,78,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,LA RAVOIRE,73490,73,04 79 72 65 62,contact@lvp-global.com,no_mx,AJC ARSENAL AUDIT,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/408650273,https://annuaire-entreprises.data.gouv.fr/entreprise/408650273,"https://www.google.com/maps?q=45.55590635,5.9478622535",https://www.google.com/search?q=SPI+ENERGIE+LA+RAVOIRE,https://www.linkedin.com/search/results/companies/?keywords=SPI+ENERGIE,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=SPI+ENERGIE&ou=LA+RAVOIRE,https://www.societe.com/cgi-bin/search?champs=408650273,https://fr.trustpilot.com/review/spienergie.fr,,spienergie.fr,50-99,PME,5,10,13315289,489585,2024,30,1996-08-22,SAS,,3248,FR35408650273,active,408650273,40865027300068,33.12Z,160 RUE DU CLAPET 73490 LA RAVOIRE,45.55590635,5.9478622535,site-generique,non,contact@spienergie.com; contact@spienergie.sylvain-coudert.com,DUFFAU TECHNOLOGIES (Directeur Général); GROUPE DUFFAU TECHNOLOGIES (Président de SAS),oui,oui,2026-08-01,sirene,LA RAVOIRE
ALP'COM,A,78,a contacter,,,,,,,,,,,,maintenance,"Installation d'equipements electriques, de materiels electroniques et optiques ou d'autres materiels",ANNECY,74940,74,04 50 64 10 94,info@agencegardeners.com,mx_ok,EIFFAGE ENERGIE SYSTEMES - REGIONS FRANCE,Président de SAS,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/387872401,https://annuaire-entreprises.data.gouv.fr/entreprise/387872401,"https://www.google.com/maps?q=45.9277039816604,6.1695991609256",https://www.google.com/search?q=ALP%27COM+ANNECY,https://www.linkedin.com/search/results/companies/?keywords=ALP%27COM,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=ALP%27COM&ou=ANNECY,https://www.societe.com/cgi-bin/search?champs=387872401,https://fr.trustpilot.com/review/alpcom.fr,https://linkedin.com/company/access-group,alpcom.fr,20-49,GE,4,11,3925537,-317953,2024,34,1992-06-01,SAS,,,FR74387872401,active,387872401,38787240100105,33.20D,PAE LES GLAISINS 7 RUE DES BOUVIERES 74940 ANNECY,45.9277039816604,6.1695991609256,site-generique,non,access@access-group.fr; ajacob@access-group.fr,,oui,oui,2026-08-22,sirene,ANNECY
CAP GENERATEUR,A,78,a contacter,,,,,,,,,,,,maintenance,"Installation d'equipements electriques, de materiels electroniques et optiques ou d'autres materiels",CANNES,06150,06,05 47 26 29 44,info@capgenerateur.com,mx_ok,DOMINIQUE DAVID,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/494466188,https://annuaire-entreprises.data.gouv.fr/entreprise/494466188,"https://www.google.com/maps?q=43.543726294,6.9582946564",https://www.google.com/search?q=CAP+GENERATEUR+CANNES,https://www.linkedin.com/search/results/companies/?keywords=CAP+GENERATEUR,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CAP+GENERATEUR&ou=CANNES,https://www.societe.com/cgi-bin/search?champs=494466188,https://fr.trustpilot.com/review/capgenerateur.com,https://www.linkedin.com/company/cap-generateur,capgenerateur.com,50-99,PME,4,8,16088301,743960,2024,19,2007-02-01,SAS,,3248,FR80494466188,active,494466188,49446618800047,33.20D,CANNES LA BOCCA 2 ALLEE DES GABIANS 06150 CANNES,43.543726294,6.9582946564,site-generique,non,,AUDIT CONSEIL STE D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES (Commissaire aux comptes suppléant); PROGRESSYS CAPITAL (Président de SAS),oui,oui,2026-08-02,sirene,CANNES
CHAPLAIN,A,78,a contacter,,,,,,,,,,,,maintenance,Reparation de machines et equipements mecaniques,RENNES,35000,35,02 99 25 39 39,contact@chaplain.fr,mx_ok,ALTONEO AUDIT,Commissaire aux comptes titulaire,email+20|tel+10|ca+15|effectif+10|categorie+5|multi-agences+8|anciennete+5|dirigeant+5,https://www.pappers.fr/entreprise/351098652,https://annuaire-entreprises.data.gouv.fr/entreprise/351098652,"https://www.google.com/maps?q=48.1014912,-1.731762351",https://www.google.com/search?q=CHAPLAIN+RENNES,https://www.linkedin.com/search/results/companies/?keywords=CHAPLAIN,https://www.pagesjaunes.fr/annuaire/chercherlespros?quoiqui=CHAPLAIN&ou=RENNES,https://www.societe.com/cgi-bin/search?champs=351098652,https://fr.trustpilot.com/review/chaplain.fr,https://www.linkedin.com/company/chaplain-groupe,chaplain.fr,100-199,PME,4,14,18273449,712775,2024,37,1989-05-29,SAS,,"9999, 3248",FR31351098652,active,351098652,35109865200016,33.12Z,ZI LORIENT 28 RUE DU MANOIR DE SERVIGNE 35000 RENNES,48.1014912,-1.731762351,site-generique,non,,ALTONEO DEVELOPPEMENT (Commissaire aux comptes suppléant); CHAP AND CO FINANCE (Président de SAS),oui,oui,2026-08-08,sirene,RENNES
